FL_DEP_AirlineCode1,FL_DEP_DepartureFlightNumber,FL_DEP_DepartureAircraftRegistration,FL_DEP_ARCFT1,FL_DEP_SDD,FL_DEP_STD,FL_DEP_Destination1,FL_DEP_OperationType1,FL_DEP_DepartureRemarks
3T,203,,B737,10/18/2023,06:20,PZU,,
3T,203,,B737,10/19/2023,06:20,PZU,,
3T,203,,B737,10/20/2023,06:20,PZU,,
3T,203,,B737,10/21/2023,06:20,PZU,,
3T,203,,B737,10/22/2023,06:20,PZU,,
3T,203,,B737,10/23/2023,06:20,PZU,,
3T,203,,B737,10/24/2023,06:20,PZU,,
3T,203,,B737,10/25/2023,06:20,PZU,,
3T,203,,B737,10/26/2023,06:20,PZU,,
3T,203,,B737,10/27/2023,06:20,PZU,,
3T,203,,B737,10/28/2023,06:20,PZU,,
3T,203,,B737,10/29/2023,06:20,PZU,,
3T,203,,B737,10/30/2023,06:20,PZU,,
3T,203,,B737,10/31/2023,06:20,PZU,,
3T,203,C5 MAJ,B737,10/10/2023,06:20,PZU,,
3T,203,C5MAG,B737,10/17/2023,06:20,PZU,,
3T,203,C5MAJ,B737,10/14/2023,06:20,PZU,,
3T,203,C5MAJ,B737,10/3/2023,05:40,PZU,,
3T,203,C5MAJ,B737,10/7/2023,05:40,PZU,,
3T,203,STT AA,B738,10/9/2023,06:20,PZU,,
3T,203,STT AL,B737,10/2/2023,06:20,KRT,,
3T,203,STT AL,B737,10/8/2023,06:20,PZU,,
3T,203,STTAA,B737,10/13/2023,06:20,PZU,,
3T,203,STTAA,B737,10/4/2023,05:40,PZU,,
3T,203,STTAA,B737,10/5/2023,05:40,PZU,,
3T,203,STTAA,B737,10/6/2023,05:40,PZU,,
3T,203,STTAA,B738,10/11/2023,06:20,PZU,,
3T,203,STTAA,B738,10/12/2023,06:20,PZU,,
3T,203,STTAA,B738,10/15/2023,06:20,PZU,,
3T,203,STTAA,B738,10/16/2023,06:20,PZU,,
3T,203,STTAL,B737,10/1/2023,06:20,KRT,,
3T,205,,B737,10/1/2023,15:30,KRT,,
3T,205,,B737,10/17/2023,15:20,PZU,,
3T,205,,B737,10/2/2023,15:30,KRT,,
3T,205,,B737,10/20/2023,15:20,PZU,,
3T,205,,B737,10/24/2023,15:20,PZU,,
3T,205,,B737,10/27/2023,15:20,PZU,,
3T,205,,B737,10/31/2023,15:20,PZU,,
3T,205,C5MAJ,B737,10/14/2023,15:20,PZU,,
3T,205,STTAA,B737,10/16/2023,15:20,PZU,,
3T,205,STTAL,B737,10/3/2023,15:30,PZU,,
3T,205,STTAL,B737-300,10/10/2023,15:20,PZU,,
3T,205,STTAL,B737-400,10/6/2023,15:20,PZU,,
3T,205,ST-TAL,B737,10/13/2023,15:20,PZU,,
4M,8117,TCMGI,B737-900,10/16/2023,09:15,AYT,UMR,
4M,8128,TC-MGH,B737-900,10/4/2023,10:05,DIY,UMR,
4M,8134,TCMGH,B737-900,10/5/2023,10:15,KYA,UMR,
4M,8136,TCMGH,B737-900,10/5/2023,19:15,AYT,UMR,
4M,8140,,B737-900,10/9/2023,16:45,KZR,UMR,
4M,8140,TC-MGH,B737-900,10/10/2023,16:20,ADB,UMR,
4M,8142,,B737-900,10/10/2023,01:35,AOE,UMR,
4M,8146,TCMGH,B737-900,10/10/2023,04:30,GNY,UMR,
4M,8147,TCMGH,B737,10/15/2023,12:45,AYT,UMR,
